"id","fk_jogo","title","title","texto","large_text","te_modalidade","start_day"
"3061929","8798148","Liversedge stumble to defeat against Stalybridge Celtic","Liversedge stumble to defeat against Stalybridge Celtic","<p><a href=/equipa.php?id=27969>Stalybridge Celtic</a> overcame <a href=/equipa.php?id=216172>Liversedge</a> in a fantastic win on Monday, <a href=/match.php?id=8798148>4x2</a>, relating to matchweek 25 of the <a href=/edicao.php?id_edicao=166509>Northern Premier League</a>. To this matchday, Chris Willcock's team came from a win, and Liversedge came from a defeat. <a href=/player.php?id=789459>Matty Carson</a> with a superb display.</p><p>The first goal was scored by <a href=/player.php?id=984785>Joe Walton</a> in the 20th minute.</p><p>After 50 minutes, Matty Carson struck for Stalybridge Celtic. Chris Willcock's team scored their second goal of the game through defender, in the 54th minute. Matty Carson completed the hat-trick, from the penalty spot, in the 65th minute. After 71 minutes, Stalybridge Celtic increased their lead with a goal from <a href=/player.php?id=551851>Raul Correia</a>.</p><p>After the result Stalybridge Celtic are 16th in the <a href=/edicao.php?id_edicao=166509> table</a>, with 26 points, while Liversedge sit 22nd place, with 17 points. In the next fixture, Chris Willcock's team <a href=/match.php?id=8798153> will play away against Lancaster City</a>. Meanwhile, Liversedge <a href=/match.php?id=8798154> will host Bamber Bridge</a>.</p>","<p><a href=""/equipa.php?id=27969"">Stalybridge Celtic</a> overcame <a href=""/equipa.php?id=216172"">Liversedge</a> to record a fantastic win on Monday, <a href=""/match.php?id=8798148"">4x2</a>, in matchweek 25 of the <a href=""/edicao.php?id_edicao=166509"">Northern Premier League</a>. Chris Willcock&#39;s side entered the game in winning form and <a href=""/player.php?id=789459"">Matty Carson</a> was the star of the show in this one putting in a superb display.</p>

<p>The opening goal was scored by <a href=""/player.php?id=984785"">Joe Walton</a> for the visitors in the 20th minute before Carson struck his first for Celtic. Willcock&#39;s team took the lead in the 54th minute when Carson nabbed his second before he completed his hat-trick, from the penalty spot, in the 65th minute. After 71 minutes, Celtic put the game to bed with a strike from <a href=""/player.php?id=551851"">Raul Correia</a>.</p>

<p>Following their victory, Stalybridge sit 16th in the <a href=""/edicao.php?id_edicao=166509""> table</a>, with 26 points, while Liversedge languish in 22nd place, nine points behind them.</p>
","1","2023-01-04 17:32:18"
"2661961","8722363","Mansfield Town emerge victorious against Walsall","Mansfield Town emerge victorious against Walsall","<p>Mansfield Town triumphed over Walsall, <a href=/match.php?id=8722363>2x1</a>, on Saturday, on matchweek 15. In this competition, Nigel Clough's team came from a win, and Michael Flynn's team came from two wins.</p><p>The opening goal was scored by <a href=/player.php?id=490089>George Lapslie </a> after 15 minutes, with a right-foot strike. With 35 minutes on the clock, <a href=/player.php?id=885427>Liam Bennett</a> struck for Walsall, with a right-foot shot inside the penalty box, fashioned by <a href=/player.php?id=618267>Tom Knowles</a>.</p><p>Sub <a href=/player.php?id=839754>Will Swan</a>, with 62 minutes on the clock, changed the course of the game. Forward netted the last goal after 82 minutes through a header inside the penalty area.</p><p>After the result Mansfield Town are 4th in the <a href=/edicao.php?id_edicao=165753> table</a>, with 26 points, while Walsall sit 15th place, with 16 points. In relation to forthcoming league matches, Nigel Clough's team <a href=/match.php?id=8722370> will play away against Crawley Town</a>. Meanwhile, Michael Flynn's team <a href=/match.php?id=8722379> visit Sutton United</a>.</p>","<p>Mansfield Town triumphed over Walsall, <a href=/match.php?id=8722363>2x1</a>, on Saturday, on matchweek 15. In this competition, Nigel Clough's team came from a win, and Michael Flynn's team came from two wins.</p><p>The opening goal was scored by <a href=/player.php?id=490089>George Lapslie </a> after 15 minutes, with a right-foot strike. With 35 minutes on the clock, <a href=/player.php?id=885427>Liam Bennett</a> struck for Walsall, with a right-foot shot inside the penalty box, fashioned by <a href=/player.php?id=618267>Tom Knowles</a>.</p><p>Sub <a href=/player.php?id=839754>Will Swan</a>, with 62 minutes on the clock, changed the course of the game. Forward netted the last goal after 82 minutes through a header inside the penalty area.</p><p>After the result Mansfield Town are 4th in the <a href=/edicao.php?id_edicao=165753> table</a>, with 26 points, while Walsall sit 15th place, with 16 points. In relation to forthcoming league matches, Nigel Clough's team <a href=/match.php?id=8722370> will play away against Crawley Town</a>. Meanwhile, Michael Flynn's team <a href=/match.php?id=8722379> visit Sutton United</a>.</p>","1","2022-10-17 16:27:56"
"2661856","8746671","Wrexham run out winners versus Barnet","Wrexham run out winners versus Barnet","<p>Wrexham beat Barnet in a extraordinary win on Saturday, <a href=/match.php?id=8746671>7x5</a>, relating to matchweek 14 of the <a href=/edicao.php?id_edicao=166088>National League</a>. In this competition, Phil Parkinson's team came from a defeat, and Dean Brennan 's team came from a win. <a href=/player.php?id=449940>Aaron Hayden</a> runned the show.In this game setting a new record for shots on target (20) this season.</p><p>Aaron Hayden opened the score after 9 minutes, from a corner. In the 29th minute, <a href=/player.php?id=446958>Nicke Kabamba</a> struck for Barnet, with a left-foot shot from outside the box. After 31 minutes, <a href=/player.php?id=285127>Harry Pritchard</a> struck the second goal for Dean Brennan 's team, from a corner, laid on by <a href=/player.php?id=427542>Dale Gorman</a>. Wrexham scored their second goal of the game through <a href=/player.php?id=659625>Tom O’Connor</a>, with 35 minutes on the clock, from a direct free kick. After 37 minutes, <a href=/player.php?id=372589>Paul Mullin</a> fired home for Phil Parkinson's team, with a right-foot shot inside the penalty box, set up by <a href=/player.php?id=308202>Elliot Lee</a>.</p><p>With 51 minutes on the clock, <a href=/player.php?id=483326>Idris Kanu</a> struck for London's team, with a right-foot strike, after a pass from <a href=/player.php?id=398319>Danny Collinge</a>. After 54 minutes, Paul Mullin fired home for Wrexham's team, from the penalty spot. With 56 minutes on the clock, Wrexham extended their lead with a goal from <a href=/player.php?id=180582>Luke Young</a>. After 60 minutes, Phil Parkinson's team increased their lead with a goal from Aaron Hayden from a corner. With his 5th goal of the season. After 65 minutes, <a href=/player.php?id=162014>Ollie Palmer</a> doubled the lead for Wrexham's team, with a right-foot strike inside the box. With 76 minutes on the clock, Nicke Kabamba struck for Barnet, with a left-foot strike inside the penalty box, set up by <a href=/player.php?id=494922>Ben Wynter</a>. With 85 minutes on the clock, Idris Kanu netted the final goal of the game, with a right-foot strike from outside the penalty box, after a pass from <a href=/player.php?id=418916>Jerome Okimo</a>.</p><p>After the result Wrexham are 2nd in the <a href=/edicao.php?id_edicao=166088> table</a>, with 29 points, while Barnet sit 14th place, with 17 points. With regard to the next fixture, Phil Parkinson's team <a href=/match.php?id=8746676> will play away against Boreham Wood</a>. Meanwhile, Dean Brennan 's team <a href=/match.php?id=8746675> will host Maidenhead United</a>.</p>","<p>Wrexham beat Barnet in a extraordinary win on Saturday, <a href=/match.php?id=8746671>7x5</a>, relating to matchweek 14 of the <a href=/edicao.php?id_edicao=166088>National League</a>. In this competition, Phil Parkinson's team came from a defeat, and Dean Brennan 's team came from a win. <a href=/player.php?id=449940>Aaron Hayden</a> runned the show.In this game setting a new record for shots on target (20) this season.</p><p>Aaron Hayden opened the score after 9 minutes, from a corner. In the 29th minute, <a href=/player.php?id=446958>Nicke Kabamba</a> struck for Barnet, with a left-foot shot from outside the box. After 31 minutes, <a href=/player.php?id=285127>Harry Pritchard</a> struck the second goal for Dean Brennan 's team, from a corner, laid on by <a href=/player.php?id=427542>Dale Gorman</a>. Wrexham scored their second goal of the game through <a href=/player.php?id=659625>Tom O’Connor</a>, with 35 minutes on the clock, from a direct free kick. After 37 minutes, <a href=/player.php?id=372589>Paul Mullin</a> fired home for Phil Parkinson's team, with a right-foot shot inside the penalty box, set up by <a href=/player.php?id=308202>Elliot Lee</a>.</p><p>With 51 minutes on the clock, <a href=/player.php?id=483326>Idris Kanu</a> struck for London's team, with a right-foot strike, after a pass from <a href=/player.php?id=398319>Danny Collinge</a>. After 54 minutes, Paul Mullin fired home for Wrexham's team, from the penalty spot. With 56 minutes on the clock, Wrexham extended their lead with a goal from <a href=/player.php?id=180582>Luke Young</a>. After 60 minutes, Phil Parkinson's team increased their lead with a goal from Aaron Hayden from a corner. With his 5th goal of the season. After 65 minutes, <a href=/player.php?id=162014>Ollie Palmer</a> doubled the lead for Wrexham's team, with a right-foot strike inside the box. With 76 minutes on the clock, Nicke Kabamba struck for Barnet, with a left-foot strike inside the penalty box, set up by <a href=/player.php?id=494922>Ben Wynter</a>. With 85 minutes on the clock, Idris Kanu netted the final goal of the game, with a right-foot strike from outside the penalty box, after a pass from <a href=/player.php?id=418916>Jerome Okimo</a>.</p><p>After the result Wrexham are 2nd in the <a href=/edicao.php?id_edicao=166088> table</a>, with 29 points, while Barnet sit 14th place, with 17 points. With regard to the next fixture, Phil Parkinson's team <a href=/match.php?id=8746676> will play away against Boreham Wood</a>. Meanwhile, Dean Brennan 's team <a href=/match.php?id=8746675> will host Maidenhead United</a>.</p>","1","2022-10-08 23:59:59"
"3057838","8780993","Potters Bar Town celebrate narrow win over Herne Bay","Potters Bar Town celebrate narrow win over Herne Bay","<p><a href=/equipa.php?id=42089>Potters Bar Town</a> overcame <a href=/equipa.php?id=66961>Herne Bay</a> in a close win on Sunday, <a href=/match.php?id=8780993>1x0</a>, in a game relating to matchweek 22. Both Sammy Moore's team and Herne Bay held their first game in the competition.</p><p>The first-half ended without any goals.</p><p><a href=/player.php?id=489773>Quentin Monville</a> scored the winning goal after 89 minutes.</p><p>After the result Potters Bar Town are 3rd in the <a href=/edicao.php?id_edicao=166392> table</a>, with 37 points, while Herne Bay sit 21st place, with 11 points. In relation to forthcoming league matches, Sammy Moore's team <a href=/match.php?id=8780771> will play at home against Bishop’s Stortford</a>, whilst Herne Bay <a href=/match.php?id=8780767> will play away against Haringey Borough</a>.</p>","<p><a href=/equipa.php?id=42089>Potters Bar Town</a> overcame <a href=/equipa.php?id=66961>Herne Bay</a> in a close win on Sunday, <a href=/match.php?id=8780993>1x0</a>, in Matchweek 22 of the Isthmian Premier.</p><p>The first-half ended goal-less.</p><p><a href=/player.php?id=489773>Quentin Monville</a> scored the winning goal after 89 minutes.</p><p>After the result Potters Bar Town moved 3rd in the <a href=/edicao.php?id_edicao=166392> table</a>, with 37 points, while Herne Bay finished the day in 21st place, with 11 points. In relation to forthcoming league matches, Sammy Moore's Scholars <a href=/match.php?id=8780771> will next play at home against Bishop’s Stortford</a>, whilst Herne Bay <a href=/match.php?id=8780767> will play away at Haringey Borough</a>.</p>","1","2022-08-14 23:59:59"
"1042475","8022642","MK Dons beat Crewe Alexandra","MK Dons beat Crewe Alexandra","<p>MK Dons triumphed over Crewe Alexandra, <a href=/match.php?id=8022642>2x1</a>, on Tuesday, in the 40th round. Before this Matchday, Milton Keynes's team came from two wins, and Crewe's team came from six defeats.</p><p>The first goal was scored by <a href=/player.php?id=641169>Troy Parrott</a> after 24 minutes. In the 40th minute, <a href=/player.php?id=495999>Conor Coventry</a> strucked the second goal for MK Dons, laid on by <a href=/player.php?id=511668>Scott Twine</a>.</p><p>&nbsp;<a href=/player.php?id=467120>Bassala Sambou</a> netted the last goal in time added on.</p><p>After the result MK Dons is 3rd in the <a href=/edicao.php?id_edicao=156086> table</a>, 79 points, while Crewe Alexandra occupy 24th place, 25 points. In relation to forthcoming league matches, Liam Manning's team <a href=/match.php?id=8022660> visit AFC Wimbledon</a>. Meanwhile, David Artell's team <a href=/match.php?id=8022665> visit Doncaster Rovers</a>.</p>","<p>MK Dons triumphed over Crewe Alexandra, <a href=""/match.php?id=8022642"">2x1</a>, on Tuesday, in Matchweek 40 of the League One season. Before this Matchweek, Milton Keynes&#39;s team came from two wins, and Crewe&#39;s team came from six defeats.</p>

<p>The first goal was scored by <a href=""/player.php?id=641169"">Troy Parrott</a> after 24 minutes. In the 40th minute, <a href=""/player.php?id=495999"">Conor Coventry</a> struck&nbsp;the second goal for MK Dons, which was laid on by <a href=""/player.php?id=511668"">Scott Twine</a>.</p>

<p>&nbsp;<a href=""/player.php?id=467120"">Bassala Sambou</a> netted a consolation for Crewe in time added on.</p>

<p>After the result MK Dons are&nbsp;3rd in the <a href=""/edicao.php?id_edicao=156086""> table</a>&nbsp;on 79 points, while Crewe Alexandra occupy 24th place on 25 points.</p>

<p>In relation to forthcoming league matches, Liam Manning&#39;s team <a href=""/match.php?id=8022660""> visit AFC Wimbledon</a>. Meanwhile, David Artell&#39;s team travel to&nbsp;<a href=""/match.php?id=8022665"">Doncaster Rovers</a>.</p>
","1","2022-04-06 12:29:54"
"1032056","8049912","Dorking Wanderers beat Slough Town","Dorking Wanderers beat Slough Town","<p>Dorking Wanderers beat Slough Town in a superb win on Saturday, <a href=/match.php?id=8049912>5x0</a>, in the 35th round. In this competition, Marc White 's team came from two draws, and Jon Underwood's team came from a defeat.</p><p>&nbsp;<a href=/player.php?id=444186>Jimmy Muitt</a> opened the score with 1 minutes on the clock. After 10 minutes, <a href=/player.php?id=524593>Isaac Philpot</a> strucked the second goal for Dorking Wanderers.</p><p>With 47 minutes on the clock, <a href=/player.php?id=454218>Dan Gallagher</a> struck for Dorking's team. In the 49th minute, <a href=/player.php?id=478475>Alfie Rutherford</a> struck for Marc White 's team. &nbsp;<a href=/player.php?id=244026>Jason Prior</a> netted the last goal with 55 minutes on the clock.</p><p>After the result Dorking Wanderers is 2nd in the <a href=/edicao.php?id_edicao=156417> table</a>, 68 points, while Slough Town occupy 14th place, 40 points. In relation to forthcoming league matches, Marc White 's team <a href=/match.php?id=8049932> will host Chippenham Town</a>, while Jon Underwood's team <a href=/match.php?id=8049927> will host Eastbourne Borough</a>.</p>","<p>Dorking Wanderers beat Slough Town in a superb win on Saturday, <a href=""/match.php?id=8049912"">5x0</a>, in the 35th round. In this competition, Marc White &#39;s team came from two draws, and Jon Underwood&#39;s team came from a defeat.</p>

<p>&nbsp;<a href=""/player.php?id=444186"">Jimmy Muitt</a> opened the score with 1 minutes on the clock. After 10 minutes, <a href=""/player.php?id=524593"">Isaac Philpot</a> strucked the second goal for Dorking Wanderers.</p>

<p>With 47 minutes on the clock, <a href=""/player.php?id=454218"">Dan Gallagher</a> struck for Dorking&#39;s team. In the 49th minute, <a href=""/player.php?id=478475"">Alfie Rutherford</a> struck for Marc White &#39;s team. &nbsp;<a href=""/player.php?id=244026"">Jason Prior</a> netted the last goal with 55 minutes on the clock.</p>

<p>After the result Dorking Wanderers is 2nd in the <a href=""/edicao.php?id_edicao=156417""> table</a>, 68 points, while Slough Town occupy 14th place, 40 points. In relation to forthcoming league matches, Marc White &#39;s team <a href=""/match.php?id=8049932""> will host Chippenham Town</a>, while Jon Underwood&#39;s team <a href=""/match.php?id=8049927""> will host Eastbourne Borough</a>.</p>
","1","2022-04-05 11:48:51"
"1032030","8049909","Duel between Bath City and Dulwich Hamlet was not more than a draw","Bath City and Dulwich Hamlet share points","<p>In game related to round 35, the game between Bath City and Dulwich Hamlet on Saturday ended in a goalless draw, <a href=/match.php?id=8049909>0x0</a>. Before this Matchday, Jerry Gill's team came from a defeat, and Gavin Rose's team came from two draws.</p><p>After the result Dulwich Hamlet is 8th in the <a href=/edicao.php?id_edicao=156417> table</a>, 47 points, while Bath City occupy 18th place, 34 points. In their next fixture, Bath's team <a href=/match.php?id=8049921> visit Concord Rangers</a>. Meanwhile, London's team <a href=/match.php?id=8049923> will host Oxford City</a>.</p>","<p>In game related to round 35, the game between Bath City and Dulwich Hamlet on Saturday ended in a goalless draw, <a href=""/match.php?id=8049909"">0x0</a>. Before this Matchday, Jerry Gill&#39;s team came from a defeat, and Gavin Rose&#39;s team came from two draws.</p>

<p>After the result Dulwich Hamlet is 8th in the <a href=""/edicao.php?id_edicao=156417""> table</a>, 47 points, while Bath City occupy 18th place, 34 points. In their next fixture, Bath&#39;s team <a href=""/match.php?id=8049921""> visit Concord Rangers</a>. Meanwhile, London&#39;s team <a href=""/match.php?id=8049923""> will host Oxford City</a>.</p>
","1","2022-04-05 11:25:48"
"1031985","8049910","Chippenham Town defeated Billericay Town","Chippenham Town defeated Billericay Town","<p>Chippenham Town triumphed over Billericay Town in a close win on Saturday, <a href=/match.php?id=8049910>0x1</a>, in the 35th round. To this Matchday, Billericay's team came from a draw, and Chippenham's team came from a defeat.</p><p>Sub <a href=/player.php?id=884689>Mohammad Dabre</a>,&nbsp;with 41 minutes on the clock, changed the course of the game.</p><p>After the break, Mohammad Dabre scored Chippenham Town's only goal of the game.</p><p>After the result Chippenham Town is 9th in the <a href=/edicao.php?id_edicao=156417> table</a>, 46 points, while Billericay Town occupy 20th place, 30 points. In their next fixture, Chippenham's team <a href=/match.php?id=8049920> will host Maidstone United</a>, while Billericay's team <a href=/match.php?id=8049924> visit Hampton & Richmond</a>.</p>","<p>Chippenham Town triumphed over Billericay Town in a close win on Saturday, <a href=""/match.php?id=8049910"">0x1</a>, in the 35th round. To this Matchday, Billericay&#39;s team came from a draw, and Chippenham&#39;s team came from a defeat.</p>

<p>Sub <a href=""/player.php?id=884689"">Mohammad Dabre</a>,&nbsp;with 41 minutes on the clock, changed the course of the game.</p>

<p>After the break, Mohammad Dabre scored Chippenham Town&#39;s only goal of the game.</p>

<p>After the result Chippenham Town is 9th in the <a href=""/edicao.php?id_edicao=156417""> table</a>, 46 points, while Billericay Town occupy 20th place, 30 points. In their next fixture, Chippenham&#39;s team <a href=""/match.php?id=8049920""> will host Maidstone United</a>, while Billericay&#39;s team <a href=""/match.php?id=8049924""> visit Hampton &amp; Richmond</a>.</p>
","1","2022-04-05 11:09:25"
